Date,day,month,year,pool_0800,pool_2400,storage,releases_power,releases_total,evaporation,inflow,rain_dam,rain_bsn
1995-08-01,1,AUG,1995,1557.89,1557.95,128027.0,0,0,0.13,350,0.41,1.35
1995-08-02,2,AUG,1995,1558.14,1559.12,135257.0,0,5,0.05,3700,3.25,1.07
1995-08-03,3,AUG,1995,1559.6,1560.28,142675.0,0,1454,0.05,5250,3.7,2.01
1995-08-04,4,AUG,1995,1560.6,1560.68,145288.0,0,3041,0.16,4400,0.0,0.09
1995-08-05,5,AUG,1995,1560.55,1560.19,142087.0,0,2911,0.26,1400,0.0,0.06
1995-08-06,6,AUG,1995,1560.0,1559.58,138179.0,0,2562,0.32,700,0.0,0.0
1995-08-07,7,AUG,1995,1559.38,1559.22,135892.0,0,1628,0.38,550,0.0,0.0
1995-08-08,8,AUG,1995,1559.14,1559.17,135575.0,0,499,0.39,450,0.0,0.0
1995-08-09,9,AUG,1995,1559.21,1559.26,136146.0,0,58,0.4,400,0.0,0.0
1995-08-10,10,AUG,1995,1559.28,1559.3,136400.0,0,75,0.45,380,0.0,0.0
1995-08-11,11,AUG,1995,1559.31,1559.33,136591.0,0,82,0.41,360,0.0,0.0
1995-08-12,12,AUG,1995,1559.34,1559.32,136527.0,0,87,0.39,320,0.0,0.0
1995-08-13,13,AUG,1995,1559.31,1559.29,136337.0,0,80,0.39,300,0.0,0.0
1995-08-14,14,AUG,1995,1559.28,1559.26,136146.0,0,72,0.41,280,0.0,0.0
1995-08-15,15,AUG,1995,1559.25,1559.21,135829.0,0,62,0.38,250,0.0,0.16
1995-08-16,16,AUG,1995,1559.19,1559.1,135130.0,0,42,0.33,200,0.0,0.02
1995-08-17,17,AUG,1995,1559.06,1558.96,134248.0,0,10,0.4,180,0.0,0.0
1995-08-18,18,AUG,1995,1558.92,1558.84,133508.0,0,0,0.44,160,0.0,0.0
1995-08-19,19,AUG,1995,1558.8,1558.71,132706.0,0,0,0.41,150,0.0,0.0
1995-08-20,20,AUG,1995,1558.66,1558.53,131596.0,0,0,0.28,130,0.0,0.0
1995-08-21,21,AUG,1995,1558.48,1558.36,130547.0,0,0,0.32,100,0.0,0.0
1995-08-22,22,AUG,1995,1558.29,1558.17,129375.0,0,0,0.39,100,0.0,0.0
1995-08-23,23,AUG,1995,1558.12,1557.99,128266.0,0,0,0.34,100,0.0,0.01
1995-08-24,24,AUG,1995,1557.94,1557.82,127248.0,0,0,0.34,100,0.0,1.12
1995-08-25,25,AUG,1995,1557.77,1557.62,126051.0,0,0,0.35,100,0.0,0.0
1995-08-26,26,AUG,1995,1557.57,1557.49,125272.0,0,0,0.34,100,0.0,0.0
1995-08-27,27,AUG,1995,1557.45,1557.36,124494.0,0,0,0.36,100,0.0,0.0
1995-08-28,28,AUG,1995,1557.32,1557.23,123715.0,0,0,0.32,100,0.0,0.0
1995-08-29,29,AUG,1995,1557.19,1557.12,123057.0,0,0,0.38,100,0.0,0.0
1995-08-30,30,AUG,1995,1557.09,1556.98,122222.0,0,0,0.41,100,0.0,0.0
1995-08-31,31,AUG,1995,1556.93,1556.83,121351.0,0,0,0.35,100,0.0,0.03
